Code	Name	Notes	ObjName	ObjCode	Version	Start	Fin	Period	DurPlan	StartDir	RowCol	Inc	WithPlan	WithFact	FromTo	Invert	AskVer	Totality	InterMed	DelBlankRow	f_DelOnlyChildBlankRow	DelBlankCol	HighFact	AddFields	Width	Height	RowLines	ChooseCol	AutoFit	Standard	NoSumHier	DetAssign	SumRows	ExpandCenters	DeleteParameters	InversionValues	ShowNumber	StartVar	FinVar	AtBegin	sf_WeekLastDay	sf_SeparateDate	sf_OnlyTop	sf_ShowDigits	sf_ShowGraphs	f_ShowScaleDigits	f_OutputFormNum	f_PrintTemplate	f_NameInTemplate	f_FullColName	f_ShowParName	f_MoveColors	f_PeriodUser	ContentCodes	f_UniId
TotalCost	Total Cost		Total Cost	TotalCost	1			По неделям			Объект - Дата, Показатель	Да	Да	Да	Нет	Нет	Нет	Нет	Да	Да	Нет	Нет	Да	Да	60	90	1	Нет	Да	Общая стоимость	Нет	Нет	Нет	Нет	Нет	Нет	Нет			Нет	Нет	Нет	Нет	Нет	Да	Да			Нет	Да	Да	Да	Нет	A Операция:Code::|A Операция:Name::	56
AllCostComponents	All Cost Components		All Cost Components	AllCostComponents	1			По неделям			Объект, Показатель - Дата	Нет	Да	Да	Нет	Нет	Нет	Нет	Да	Да	Нет	Нет	Да	Да	60	90	1	Нет	Да	Все стоимостные составляющие	Нет	Нет	Нет	Нет	Нет	Нет	Нет			Нет	Нет	Нет	Нет	Нет	Да	Да			Нет	Да	Да	Да	Нет	A Операция:Code::|A Операция:Name::	57
AllMaterials	All Materials		All Materials	AllMaterials	1			По неделям			Объект, Показатель - Дата	Нет	Да	Да	Нет	Нет	Нет	Нет	Да	Да	Нет	Нет	Да	Да	60	90	1	Нет	Да	Все материалы	Нет	Нет	Нет	Нет	Нет	Нет	Нет			Нет	Нет	Нет	Нет	Нет	Да	Да			Нет	Да	Да	Да	Нет	A Операция:Code::|A Операция:Name::	58
AllResourcesQuantity	All Resources - Quantity		All Resources - Quantity	AllResourcesQuantity	1			По неделям			Объект, Показатель - Дата	Нет	Да	Да	Нет	Нет	Нет	Нет	Да	Да	Нет	Нет	Да	Да	60	90	1	Нет	Да	Все ресурсы - количество	Нет	Нет	Нет	Нет	Нет	Нет	Нет			Нет	Нет	Нет	Нет	Нет	Да	Да			Нет	Да	Да	Да	Нет	A Операция:Code::|A Операция:Name::	59
AllResourceHours	All Resources - Resource Hours		All Resources - Resource Hours	AllResourceHours	1			По неделям			Объект, Показатель - Дата	Нет	Да	Да	Нет	Нет	Нет	Нет	Да	Да	Нет	Нет	Да	Да	60	90	1	Нет	Да	Все ресурсы - трудоёмкость	Нет	Нет	Нет	Нет	Нет	Нет	Нет			Нет	Нет	Нет	Нет	Нет	Да	Да			Нет	Да	Да	Да	Нет	A Операция:Code::|A Операция:Name::	60
ResourcesOverLoads	Resources - OverLoads		Resources - OverLoads	ResourcesOverLoads	1			По неделям			Объект - Дата, Показатель	Да	Да	Да	Нет	Нет	Нет	Нет	Да	Да	Нет	Нет	Да	Да	60	90	1	Нет	Да	Ресурсы - перегрузка	Нет	Нет	Нет	Нет	Нет	Нет	Нет			Нет	Нет	Нет	Нет	Нет	Да	Да			Нет	Да	Да	Да	Нет	A Операция:Code::|A Операция:Name::	61
ks6	КС-6		КС-6	ks6	1			По месяцам			Объект - Дата, Показатель	Да	Да	Да	Нет	Нет	Нет	Нет	Да	Да	Нет	Нет	Да	Да	60	110	1	Нет	Да	КС-6	Нет	Нет	Нет	Нет	Нет	Нет	Нет			Нет	Нет	Нет	Нет	Нет	Да	Да		ks6	Нет	Да	Да	Нет	Нет	P Поле:VolSum,Цвет:12582912,Цвет_Обратный:,Название:Volume|P Поле:CostTotal,Цвет:12583104,Цвет_Обратный:,Название:Total Cost|A Операция:Code::|A Операция:Name::	178
ks3	КС-3		КС-3	ks3	1	01.01.2007  08:00	01.02.2007  08:00	По месяцам			Объект - Дата, Показатель	Да	Нет	Да	Да	Нет	Нет	Нет	Да	Да	Нет	Нет	Да	Да	60	110	1	Нет	Да	КС-3	Нет	Нет	Нет	Нет	Нет	Нет	Нет			Нет	Нет	Нет	Нет	Нет	Да	Да		ks3	Нет	Да	Да	Нет	Нет	P Поле:CostTotal,Цвет:192,Цвет_Обратный:,Название:Total Cost|A Операция:Code::|A Операция:Name::	180
ks2	КС-2		КС-2	ks2	1	01.01.2007  08:00	01.02.2007  08:00	По месяцам			Объект - Дата, Показатель	Да	Нет	Да	Да	Нет	Нет	Нет	Да	Да	Нет	Нет	Да	Да	60	110	1	Нет	Да	КС-2	Нет	Нет	Нет	Нет	Нет	Нет	Нет			Нет	Нет	Нет	Нет	Нет	Да	Да		ks2	Нет	Да	Да	Нет	Нет	P Поле:VolSum,Цвет:12632064,Цвет_Обратный:,Название:Volume|P Поле:CostTotal,Цвет:49344,Цвет_Обратный:,Название:Total Cost|A Операция:Code::|A Операция:Name::	182
