Code	Name	Notes	Start	Fin	WeekCode	WeekName	f_ExPeriod	f_ExPeriodUnit	f_UniId
NewYear	Новый Год		01.01.2005  00:00	03.01.2005  00:00	0	Пустая неделя	1	Год	63
Christmas	Рождество		07.01.2005  00:00	08.01.2005  00:00	0	Пустая неделя	1	Год	64
Feb_23	День Защитника Отечества		23.02.2005  00:00	24.02.2005  00:00	0	Пустая неделя	1	Год	65
March_8	Международный Женский День		08.03.2005  00:00	09.03.2005  00:00	0	Пустая неделя	1	Год	66
May_1	День Весны и Труда		01.05.2005  00:00	02.05.2005  00:00	0	Пустая неделя	1	Год	67
May_9	День Победы		09.05.2005  00:00	10.05.2005  00:00	0	Пустая неделя	1	Год	68
June_12	День Независимости		12.06.2005  00:00	13.06.2005  00:00	0	Пустая неделя	1	Год	69
1	Календарное исключение1		01.01.2013  00:00	02.01.2013  00:00	0	Пустая неделя			265
