Code	ObjType	sf_AltName	ShortName	sf_Enum	sf_HierIndent	Notes	f_OutputFormNum	f_OutputFormTime	f_OutputFormText
f_tim_Consum	PH	Нет	Расходы [В час]	Нет	Нет			По умолчанию	Лево
f_vol_Consum	PH	Нет	Расходы [На единицу объёма]	Нет	Нет			По умолчанию	Лево
f_CritIndex	PH	Нет	Индекс критичности	Нет	Нет			По умолчанию	Лево
f_DoMC	PH	Нет	Проводить анализ Монте-Карло	Нет	Нет			По умолчанию	Лево
f_TriggerProb	PH	Нет	Вероятность триггера	Нет	Нет			По умолчанию	Лево
WorkLoadContr	PH	Нет	Трудоёмкость [Директивная]	Нет	Нет			По умолчанию	Лево
WorkLoadProb	PH	Нет	Трудоёмкость [Вероятность Три Сценария]	Нет	Нет			По умолчанию	Лево
WorkLoadCrit	PH	Нет	Трудоёмкость [Критическая]	Нет	Нет			По умолчанию	Лево
DurContr	PH	Нет	Длительность, Часы [Директивная]	Нет	Нет			По умолчанию	Лево
DurProb	PH	Нет	Длительность, Часы [Вероятность Три Сценария]	Нет	Нет			По умолчанию	Лево
DurCrit	PH	Нет	Длительность, Часы [Критическая]	Нет	Нет			По умолчанию	Лево
DurContrD	PH	Нет	Длительность, Дни [Директивная]	Нет	Нет			По умолчанию	Лево
DurProbD	PH	Нет	Длительность, Дни [Вероятность Три Сценария]	Нет	Нет			По умолчанию	Лево
DurCritD	PH	Нет	Длительность, Дни [Критическая]	Нет	Нет			По умолчанию	Лево
DurProbD_MCPRB	PH	Нет	Длительность, Дни [Вероятность Монте-Карло]	Нет	Нет			По умолчанию	Лево
DurProb_MCPRB	PH	Нет	Длительность, Часы [Вероятность Монте-Карло]	Нет	Нет			По умолчанию	Лево
CostProb_MCPRB	PH	Нет	Общая стоимость [Вероятность Монте-Карло]	Нет	Нет			По умолчанию	Лево
WorkLoadProb_MCPRB	PH	Нет	Трудоёмкость [Вероятность Монте-Карло]	Нет	Нет			По умолчанию	Лево
ProbTerm_MCPRB	PH	Нет	Окончание [Вероятность Монте-Карло]	Нет	Нет			По умолчанию	Лево
NPV_Contr	PH	Нет	Чистый Дисконтированный Доход (ЧДД) [Директивный]	Нет	Нет			По умолчанию	Лево
NPV_Prob	PH	Нет	Чистый Дисконтированный Доход (ЧДД) [Вероятность Три Сценария]	Нет	Нет			По умолчанию	Лево
NPV_Prob_MCPRB	PH	Нет	Чистый Дисконтированный Доход (ЧДД) [Вероятность Монте-Карло]	Нет	Нет			По умолчанию	Лево
NPV_Crit	PH	Нет	Чистый Дисконтированный Доход (ЧДД) [Критический]	Нет	Нет			По умолчанию	Лево
IRR_Contr	PH	Нет	Внутренняя Норма Доходности (ВНД) [Директивная]	Нет	Нет			По умолчанию	Лево
IRR_Prob	PH	Нет	Внутренняя Норма Доходности (ВНД) [Вероятность Три Сценария]	Нет	Нет			По умолчанию	Лево
IRR_Prob_MCPRB	PH	Нет	Внутренняя Норма Доходности (ВНД) [Вероятность Монте-Карло]	Нет	Нет			По умолчанию	Лево
IRR_Crit	PH	Нет	Внутренняя Норма Доходности (ВНД) [Критическая]	Нет	Нет			По умолчанию	Лево
f_PredOpers	PH	Нет	Предшествующие операции	Нет	Нет			По умолчанию	Лево
f_SuccOpers	PH	Нет	Последующие операции	Нет	Нет			По умолчанию	Лево
f_SuccOpersEnd	PH	Нет	Последующие операции от окончания	Нет	Нет			По умолчанию	Лево
f_Resources	PH	Нет	Назначенные ресурсы	Нет	Нет			По умолчанию	Лево
f_Aggregated	PH	Нет	Укрупнённая	Нет	Нет			По умолчанию	Лево
f_PortBoundBeg	PH	Нет	Ограничение портфеля на начало	Нет	Нет			По умолчанию	Лево
f_PortBoundEnd	PH	Нет	Ограничение портфеля на окончание	Нет	Нет			По умолчанию	Лево
f_SpecType	PH	Нет	Специальный тип	Нет	Нет			По умолчанию	Лево
f_CompStatus	PH	Нет	Статус при сравнении	Нет	Нет			По умолчанию	Лево
f_SwitchState	PH	Нет	Состояние триггера	Нет	Нет			По умолчанию	Лево
f_AutoMileStone	PH	Нет	Выполняется автоматически [для контрольных событий и гамаков]	Нет	Нет			По умолчанию	Лево
f_TakeInSched	PH	Нет	Учитывать в расчёте расписания	Нет	Нет			По умолчанию	Лево
LocStart	PH	Нет	Местоположение начала	Нет	Нет			По умолчанию	Лево
LocFin	PH	Нет	Местоположение окончания	Нет	Нет			По умолчанию	Лево
f_PriorRelative	PH	Нет	Приоритет относительный	Нет	Нет			По умолчанию	Лево
f_UseFormula	PH	Нет	Использовать формулу для состояния переключателя	Нет	Нет			По умолчанию	Лево
f_RowColor	PH	Нет	Цвет фона	Нет	Нет			По умолчанию	Лево
f_FontColor	PH	Нет	Цвет текста	Нет	Нет			По умолчанию	Лево
Color	PH	Нет	Цвет графика	Нет	Нет			По умолчанию	Лево
f_UniId	PH	Нет	Идентификатор	Нет	Нет			По умолчанию	Лево
Level	D	Нет	Уровень	Нет	Нет			По умолчанию	Лево
Code	D	Нет	Код	Нет	Нет			По умолчанию	Лево
Name	D	Нет	Название	Нет	Да			По умолчанию	Лево
DPH	D	Нет	Тип ДПГ	Нет	Нет			По умолчанию	Лево
Type	D	Нет	Тип	Нет	Нет			По умолчанию	Лево
Split	D	Нет	Прерываемость	Нет	Нет			По умолчанию	Лево
Alap	D	Нет	КМР / КМП	Нет	Нет			По умолчанию	Лево
Notes	D	Нет	Комментарии	Нет	Нет			По умолчанию	Лево
Folder	D	Нет	Ссылки на документы, сайты, папки (URL)	Нет	Нет			По умолчанию	Лево
ShortName	D	Нет	Краткое название	Нет	Да			По умолчанию	Лево
AssIndex	D	Нет	Индекс	Нет	Нет			По умолчанию	Лево
Start	D	Нет	Начало	Нет	Нет			По умолчанию	Лево
Fin	D	Нет	Окончание	Нет	Нет			По умолчанию	Лево
DurPlan	D	Нет	Длительность, Часы [План]	Нет	Нет			По умолчанию	Лево
DurPlanD	D	Нет	Длительность, Дни [План]	Нет	Нет			По умолчанию	Лево
NumDays	D	Нет	Количество дней работы [План]	Нет	Нет			По умолчанию	Лево
VolPlan	D	Нет	Объём [План]	Нет	Нет			По умолчанию	Лево
VolFact	D	Нет	Объём [Факт]	Нет	Нет			По умолчанию	Лево
VolSum	D	Нет	Объём [Итог]	Нет	Нет			По умолчанию	Лево
Unit	D	Нет	Единица измерения трудоёмкости / объёма	Нет	Нет			По умолчанию	Лево
CostPlan	D	Нет	Общая стоимость [План]	Нет	Нет			По умолчанию	Лево
Reserv	D	Нет	Резерв полный, Часы	Нет	Нет			По умолчанию	Лево
ReservD	D	Нет	Резерв полный, Дни	Нет	Нет			По умолчанию	Лево
NumPlan	D	Нет	Количество [План]	Нет	Нет			По умолчанию	Лево
Number	D	Нет	Количество	Нет	Нет			По умолчанию	Лево
NumberMin	D	Нет	Количество [Минимум]	Нет	Нет			По умолчанию	Лево
Variable	D	Нет	Переменные количество и загрузка	Нет	Нет			По умолчанию	Лево
LoadPlan	D	Нет	Загрузка [План]	Нет	Нет			По умолчанию	Лево
LoadMin	D	Нет	Загрузка [Минимум]	Нет	Нет			По умолчанию	Лево
Load	D	Нет	Загрузка	Нет	Нет			По умолчанию	Лево
Prod	D	Нет	Производительность	Нет	Нет			По умолчанию	Лево
Prior	D	Нет	Приоритет	Нет	Нет			По умолчанию	Лево
WorkLoadPlan	D	Нет	Трудоёмкость [План]	Нет	Нет			По умолчанию	Лево
Calen	D	Нет	Календарь	Нет	Нет			По умолчанию	Лево
AsapStart	D	Нет	Начало [КМР]	Нет	Нет			По умолчанию	Лево
AsapFin	D	Нет	Окончание [КМР]	Нет	Нет			По умолчанию	Лево
AlapStart	D	Нет	Начало [КМП]	Нет	Нет			По умолчанию	Лево
AlapFin	D	Нет	Окончание [КМП]	Нет	Нет			По умолчанию	Лево
FactStart	D	Нет	Начало [Факт]	Нет	Нет			По умолчанию	Лево
FactFin	D	Нет	Окончание [Факт]	Нет	Нет			По умолчанию	Лево
StartDir	D	Нет	Начало [НРЧ]	Нет	Нет			По умолчанию	Лево
FinDir	D	Нет	Окончание [НПЧ]	Нет	Нет			По умолчанию	Лево
DurFact	D	Нет	Длительность, Часы [Факт]	Нет	Нет			По умолчанию	Лево
DurFactD	D	Нет	Длительность, Дни [Факт]	Нет	Нет			По умолчанию	Лево
NumDaysFact	D	Нет	Количество дней работы [Факт]	Нет	Нет			По умолчанию	Лево
DurSum	D	Нет	Длительность, Часы [Итог]	Нет	Нет			По умолчанию	Лево
DurSumD	D	Нет	Длительность, Дни [Итог]	Нет	Нет			По умолчанию	Лево
NumDaysSum	D	Нет	Количество дней работы [Итог]	Нет	Нет			По умолчанию	Лево
CostFact	D	Нет	Общая стоимость [Факт]	Нет	Нет			По умолчанию	Лево
CostTotal	D	Нет	Общая стоимость [Итог]	Нет	Нет			По умолчанию	Лево
WorkLoadFact	D	Нет	Трудоёмкость [Факт]	Нет	Нет			По умолчанию	Лево
WorkLoadSum	D	Нет	Трудоёмкость [Итог]	Нет	Нет			По умолчанию	Лево
BSC	D	Нет	Код OBS	Нет	Нет			По умолчанию	Лево
Notify	D	Нет	Уведомлять перед началом и окончанием Работ	Нет	Нет			По умолчанию	Лево
MailAddress	D	Нет	E-mail адрес	Нет	Нет			По умолчанию	Лево
TargetStart	D	Нет	Начало [Критическое]	Нет	Нет			По умолчанию	Лево
TargetFin	D	Нет	Окончание [Критическое]	Нет	Нет			По умолчанию	Лево
rReserv	D	Нет	Начало [Буфер]	Нет	Нет			По умолчанию	Лево
rReservFin	D	Нет	Окончание [Буфер]	Нет	Нет			По умолчанию	Лево
rCostPlan	D	Нет	Общая стоимость [Критическая]	Нет	Нет			По умолчанию	Лево
rCostDiff	D	Нет	Общая стоимость [Буфер]	Нет	Нет			По умолчанию	Лево
NPV	D	Нет	Чистый Дисконтированный Доход (ЧДД)	Нет	Нет			По умолчанию	Лево
NPV_Plan	D	Нет	Чистый Дисконтированный Доход (ЧДД) [План]	Нет	Нет			По умолчанию	Лево
SumVol	D	Нет	Суммировать объёмы	Нет	Нет			По умолчанию	Лево
ResCentQuan	D	Нет	Центр ресурсов [Количество]	Нет	Нет			По умолчанию	Лево
ResCentHour	D	Нет	Центр ресурсов [Трудоёмкость]	Нет	Нет			По умолчанию	Лево
f_SumWorkLoad	D	Нет	Добавлять трудоёмкость назначения к трудоёмкости операции	Нет	Нет			По умолчанию	Лево
f_ResPools	D	Нет	Роли ресурсов	Нет	Нет			По умолчанию	Лево
f_ResMults	D	Нет	Мультиресурсы	Нет	Нет			По умолчанию	Лево
f_RowColor	D	Нет	Цвет фона	Нет	Нет			По умолчанию	Лево
f_FontColor	D	Нет	Цвет текста	Нет	Нет			По умолчанию	Лево
Color	D	Нет	Цвет графика	Нет	Нет			По умолчанию	Лево
f_UniId	D	Нет	Идентификатор	Нет	Нет			По умолчанию	Лево
Level	PM	Нет	Уровень	Нет	Нет			По умолчанию	Лево
Code	PM	Нет	Код	Нет	Нет			По умолчанию	Лево
Name	PM	Нет	Название	Нет	Да			По умолчанию	Лево
Type	PM	Нет	Тип	Нет	Нет			По умолчанию	Лево
Notes	PM	Нет	Комментарии	Нет	Нет			По умолчанию	Лево
Folder	PM	Нет	Ссылки на документы, сайты, папки (URL)	Нет	Нет			По умолчанию	Лево
ShortName	PM	Нет	Краткое название	Нет	Да			По умолчанию	Лево
ObjCode	PM	Нет	Код проекта	Нет	Нет			По умолчанию	Лево
Version	PM	Нет	Версия проекта	Нет	Нет			По умолчанию	Лево
Location	PM	Нет	Местоположение	Нет	Нет			По умолчанию	Лево
CurTime	PM	Нет	Текущее время проекта	Нет	Нет			По умолчанию	Лево
BusinessUnit	PM	Нет	Бизнес единица	Нет	Нет			По умолчанию	Лево
BudgetUnit	PM	Нет	Бюджетная единица	Нет	Нет			По умолчанию	Лево
Curator	PM	Нет	Куратор	Нет	Нет			По умолчанию	Лево
TechMan	PM	Нет	Технический руководитель	Нет	Нет			По умолчанию	Лево
ProjType	PM	Нет	Тип проекта	Нет	Нет			По умолчанию	Лево
Descr	PM	Нет	Краткое описание	Нет	Нет			По умолчанию	Лево
NPV	PM	Нет	Чистый Дисконтированный Доход (ЧДД)	Нет	Нет			По умолчанию	Лево
NPV_Plan	PM	Нет	Чистый Дисконтированный Доход (ЧДД) [План]	Нет	Нет			По умолчанию	Лево
IRR	PM	Нет	Внутренняя Норма Доходности (ВНД)	Нет	Нет			По умолчанию	Лево
MIRR	PM	Нет	Модифицированная Внутренняя Норма Доходности (МВНД)	Нет	Нет			По умолчанию	Лево
PayBackMoment	PM	Нет	Срок окупаемости	Нет	Нет			По умолчанию	Лево
Cost	PM	Нет	Затраты	Нет	Нет			По умолчанию	Лево
Start	PM	Нет	Начало	Нет	Нет			По умолчанию	Лево
Fin	PM	Нет	Окончание	Нет	Нет			По умолчанию	Лево
DurPlan	PM	Нет	Длительность, Часы [План]	Нет	Нет			По умолчанию	Лево
DurPlanD	PM	Нет	Длительность, Дни [План]	Нет	Нет			По умолчанию	Лево
NumDays	PM	Нет	Количество дней работы [План]	Нет	Нет			По умолчанию	Лево
CostPlan	PM	Нет	Общая стоимость [План]	Нет	Нет			По умолчанию	Лево
Reserv	PM	Нет	Резерв полный, Часы	Нет	Нет			По умолчанию	Лево
ReservD	PM	Нет	Резерв полный, Дни	Нет	Нет			По умолчанию	Лево
Person	PM	Нет	Менеджер	Нет	Нет			По умолчанию	Лево
Prior	PM	Нет	Приоритет	Нет	Нет			По умолчанию	Лево
WorkLoadPlan	PM	Нет	Трудоёмкость [План]	Нет	Нет			По умолчанию	Лево
Calen	PM	Нет	Календарь	Нет	Нет			По умолчанию	Лево
AsapStart	PM	Нет	Начало [КМР]	Нет	Нет			По умолчанию	Лево
AsapFin	PM	Нет	Окончание [КМР]	Нет	Нет			По умолчанию	Лево
AlapStart	PM	Нет	Начало [КМП]	Нет	Нет			По умолчанию	Лево
AlapFin	PM	Нет	Окончание [КМП]	Нет	Нет			По умолчанию	Лево
FactStart	PM	Нет	Начало [Факт]	Нет	Нет			По умолчанию	Лево
FactFin	PM	Нет	Окончание [Факт]	Нет	Нет			По умолчанию	Лево
DurFact	PM	Нет	Длительность, Часы [Факт]	Нет	Нет			По умолчанию	Лево
DurFactD	PM	Нет	Длительность, Дни [Факт]	Нет	Нет			По умолчанию	Лево
NumDaysFact	PM	Нет	Количество дней работы [Факт]	Нет	Нет			По умолчанию	Лево
DurSum	PM	Нет	Длительность, Часы [Итог]	Нет	Нет			По умолчанию	Лево
DurSumD	PM	Нет	Длительность, Дни [Итог]	Нет	Нет			По умолчанию	Лево
NumDaysSum	PM	Нет	Количество дней работы [Итог]	Нет	Нет			По умолчанию	Лево
