f_UniId	CostCode	Plan	Fact	Total
577	ind	16744.8	98784	115528.8
577	sal	5477.89333333333	82320	87797.8933333333
578	oth	51	7	58
578	ind	16744.8	98784	115528.8
578	sal	5477.89333333333	82320	87797.8933333333
579	oth	51	7	58
579	ind	16744.8	98784	115528.8
579	sal	5477.89333333333	82320	87797.8933333333
580	oth	51	7	58
580	ind	16744.8	98784	115528.8
580	sal	5477.89333333333	82320	87797.8933333333
581	oth	51	7	58
581	ind	16744.8	98784	115528.8
581	sal	5477.89333333333	82320	87797.8933333333
582	oth	51	7	58
582	ind	16744.8	98784	115528.8
582	sal	5477.89333333333	82320	87797.8933333333
583	oth	51	7	58
583	ind	16744.8	98784	115528.8
583	sal	5477.89333333333	82320	87797.8933333333
584	oth	51	7	58
584	ind	16744.8	98784	115528.8
584	sal	5477.89333333333	82320	87797.8933333333
585	oth	51	7	58
585	ind	16744.8	98784	115528.8
585	sal	5477.89333333333	82320	87797.8933333333
586	oth	51	7	58
586	ind	16744.8	98784	115528.8
586	sal	5477.89333333333	82320	87797.8933333333
587	oth	51	7	58
587	ind	16744.8	98784	115528.8
587	sal	5477.89333333333	82320	87797.8933333333
588	oth	51	7	58
588	ind	16744.8	98784	115528.8
588	sal	5477.89333333333	82320	87797.8933333333
589	oth	51	7	58
589	ind	16744.8	98784	115528.8
589	sal	5477.89333333333	82320	87797.8933333333
590	oth	51	7	58
590	ind	16744.8	98784	115528.8
590	sal	5477.89333333333	82320	87797.8933333333
591	oth	51	7	58
591	ind	16744.8	98784	115528.8
591	sal	5477.89333333333	82320	87797.8933333333
592	oth	51	7	58
592	ind	16744.8	98784	115528.8
592	sal	5477.89333333333	82320	87797.8933333333
593	oth	51	7	58
593	ind	16744.8	98784	115528.8
593	sal	5477.89333333333	82320	87797.8933333333
594	oth	51	7	58
594	ind	16744.8	98784	115528.8
594	sal	5477.89333333333	82320	87797.8933333333
595	oth	51	7	58
595	ind	16744.8	98784	115528.8
595	sal	5477.89333333333	82320	87797.8933333333
596	oth	51	7	58
596	ind	16744.8	98784	115528.8
596	sal	5477.89333333333	82320	87797.8933333333
597	oth	51	7	58
597	ind	16744.8	98784	115528.8
597	sal	5477.89333333333	82320	87797.8933333333
598	oth	51	7	58
598	ind	16744.8	98784	115528.8
598	sal	5477.89333333333	82320	87797.8933333333
599	oth	51	7	58
599	ind	16744.8	98784	115528.8
599	sal	5477.89333333333	82320	87797.8933333333
600	oth	51	7	58
600	ind	16744.8	98784	115528.8
600	sal	5477.89333333333	82320	87797.8933333333
601	oth	51	7	58
601	ind	16744.8	98784	115528.8
601	sal	5477.89333333333	82320	87797.8933333333
602	oth	51	7	58
602	ind	16744.8	98784	115528.8
602	sal	5477.89333333333	82320	87797.8933333333
603	oth	51	7	58
603	ind	16744.8	98784	115528.8
603	sal	5477.89333333333	82320	87797.8933333333
