ObjCode	StructCode	Start	Fin	DurPlan	DurPlanD	DurSum	DurSumD	NumDays	NumDaysSum	CostTotal	CostPlan	CostFact	WorkLoadSum	WorkLoadPlan	WorkLoadFact	VolPlan	VolFact	VolSum	Reserv	ReservD	ReservFinH	ReservFinD	ReservSuperH	ReservSuperD	f_FreeReservH	f_FreeReservD	f_ReservNegFinH	f_ReservNegFinD	f_ReservNegStartH	f_ReservNegStartD	f_FlexStartH	f_FlexStartD	f_FlexFinH	f_FlexFinD	f_DRAGH	f_DRAGD	EarlyStart	EarlyFin	AsapStart	AsapFin	AlapStart	AlapFin	FinSuperAlap	NPV	NPV_Plan	IRR	IRR_Plan	PayBackMoment	ResCentQuan	ResCentHour	f_InArea	DurFact	DurFactD	NumDaysFact	f_UniId
main	1									183631.127769901	21041.2272569701	162589.900512931																																											504
main	1									172554.916965258	20350.1594075971	152204.757557661																																											505
main	1									231355.868957009	24018.8732078971	207336.995749112																																											506
main	1									222841.004985509	23487.6131193818	199353.391866127																																											507
main	1									183121.957269509	21009.459049514	162112.498219995																																											508
main	1									202570.551812138	22222.8973490332	180347.654463105																																											509
main	1									170493.976383845	20221.573034477	150272.403349368																																											510
main	1									201813.58128287	22175.6683819318	179637.912900938																																											511
main	1									160843.270970474	19619.4454339301	141223.825536543																																											512
main	1									217310.744150432	23142.5686335757	194168.175516857																																											513
main	1									176907.199898751	20621.707399935	156285.492498816																																											514
main	1									235499.850379101	24277.4248353189	211222.425543783																																											515
main	1									261789.210711483	25917.6727528355	235871.537958647																																											516
main	1									207106.771937405	22505.9215656666	184600.850371738																																											517
main	1									196321.400325798	21832.9997789851	174488.400546813																																											518
main	1									264001.775648293	26055.7192851242	237946.056363168																																											519
main	1									216593.914938637	23097.8441668334	193496.070771804																																											520
main	1									230810.152186921	23984.8248025965	206825.327384324																																											521
main	1									220188.376527343	23322.1101079186	196866.266419424																																											522
main	1									218456.77309589	23214.0717651633	195242.701330727																																											523
main	1									183061.739744491	21005.7019527737	162056.037791718																																											524
main	1									237990.813190968	24432.8411905712	213557.972000396																																											525
main	1									221896.588074567	23428.688982322	198467.899092245																																											526
main	1									190408.898799807	21464.106500765	168944.792299042																																											527
main	1									197516.905749418	21907.5898510401	175609.315898378																																											528
main	1									189442.130062158	21403.7877867073	168038.342275451																																											529
main	1									204316.01112728	22331.8001892155	181984.210938064																																											530
main	1									220347.294506428	23332.0253314522	197015.269174976																																											531
main	1									184584.098679835	21100.6850958338	163483.413584001																																											532
main	1									256811.446829908	25607.0997020875	231204.34712782																																											533
main	1									214242.697284703	22951.1468028909	191291.550481812																																											534
main	1									189396.231755993	21400.9240958394	167995.307660153																																											535
main	1									219444.993650037	23275.7289027084	196169.264747328																																											536
main	1									263300.355229059	26011.9562050262	237288.399024033																																											537
main	1									254450.958949463	25459.8239494152	228991.135000048																																											538
main	1									214976.643049927	22996.9392070331	191979.703842894																																											539
main	1									216923.493459201	23118.4072568127	193805.086202388																																											540
main	1									249451.299953968	25147.8848169308	224303.415137037																																											541
main	1									205474.80275649	22404.0996112104	183070.70314528																																											542
main	1									182851.189328819	20992.5652740386	161858.624054781																																											543
main	1									217792.287785719	23172.6131434073	194619.674642311																																											544
main	1									208355.28586504	22583.8189486346	185771.466916406																																											545
main	1									240990.451689179	24619.9948808014	216370.456808378																																											546
main	1									223076.815537448	23502.3258306025	199574.489706845																																											547
main	1									194504.820977176	21719.6596118639	172785.161365312																																											548
main	1									204908.923129626	22368.7932033027	182540.129926324																																											549
main	1									188012.731578856	21314.6046397652	166698.126939091																																											550
main	1									196035.071723932	21815.1351414664	174219.936582466																																											551
main	1									234886.058536162	24239.1290845116	210646.92945165																																											552
main	1									194827.662528482	21739.8023683069	173087.860160175																																											553
main	1									226123.694843143	23692.4269731524	202431.26786999																																											554
main	1									223441.971818949	23525.1086911486	199916.8631278																																											555
main	1									178970.002591863	20750.4099540803	158219.592637783																																											556
main	1									237640.218197657	24410.9668391074	213229.251358549																																											557
main	1									191276.645458599	21518.2470211892	169758.39843741																																											558
main	1									217825.84068679	23174.706578752	194651.134108039																																											559
main	1									189418.081657937	21402.2873567066	168015.794301231																																											560
main	1									243555.472187756	24780.031849293	218775.440338463																																											561
main	1									206667.736298991	22478.5292182485	184189.207080742																																											562
main	1									176371.262801919	20588.2691688071	155782.993633112																																											563
main	1									214065.945622237	22940.118898727	191125.82672351																																											564
main	1									248257.991078511	25073.4317920882	223184.559286423																																											565
main	1									201575.125535548	22160.7906314647	179414.334904083																																											566
main	1									254673.701924685	25473.7213473218	229199.980577363																																											567
main	1									179861.188325816	20806.0128871968	159055.175438619																																											568
main	1									185187.121499265	21138.3089448465	164048.812554419																																											569
main	1									197451.753538284	21903.5248689605	175548.228669323																																											570
main	1									187679.381135581	21293.8062116759	166385.574923905																																											571
main	1									191513.702135936	21533.0374807675	169980.664655169																																											572
main	1									201492.193271943	22155.6163148989	179336.576957044																																											573
main	1									201936.825687014	22183.3578568634	179753.467830151																																											574
main	1									204162.927831192	22322.2490037001	181840.678827492																																											575
main	1									205273.522568411	22391.5413212726	182881.981247139																																											576
